N,P,K,temperature,humidity,pH,rainfall,Total_NPK,Avg_NPK,NPK_Ratio,N_P_ratio,P_K_ratio,Temp_Humidity,Rainfall_Temp,pH_rainfall,N_rainfall,K_humidity,cat_Cash Crops,cat_Cereals & Grains,cat_Fiber Crops,cat_Fodder Crops,cat_Fruits,cat_Oilseeds,cat_Plantation Crops,cat_Pulses & Legumes,cat_Spices & Herbs,cat_Vegetables,label_encoded
60.34,42.36,72.29,31.73,69.49,6.57,61.5,174.99,58.330000000000005,0.5217466493731086,1.3916051660516606,0.5779778960294719,2204.9177,1.8790100824931253,404.055,3710.9100000000003,5023.4321,0,0,0,0,0,0,0,0,0,1,14
38.57,33.36,48.21,20.89,59.83,6.9,48.03,120.14000000000001,40.046666666666674,0.46711880828388036,1.1225261932479629,0.6779109937004674,1249.8487,2.1941525810872546,331.40700000000004,1852.5171,2884.4043,0,0,0,0,0,0,0,0,1,0,53
80.8,55.88,59.87,22.27,62.3,6.93,61.12,196.55,65.51666666666667,0.6920770877944326,1.420534458509142,0.9180220141284706,1387.4209999999998,2.6265577997421574,423.56159999999994,4938.495999999999,3729.901,0,0,0,0,0,0,0,0,0,1,128
45.34,35.06,58.5,13.76,71.36,6.64,73.34,138.9,46.300000000000004,0.4794839255499154,1.257348863006101,0.5892436974789916,981.9136,4.968834688346884,486.9776,3325.2356000000004,4174.56,0,0,0,0,1,0,0,0,0,0,59
70.7,48.78,86.62,26.63,69.66,5.91,111.21,206.10000000000002,68.7,0.5183284457478006,1.420249096022499,0.5567222095412007,1855.0457999999999,4.024972855591748,657.2511,7862.547,6033.9492,0,0,0,0,1,0,0,0,0,0,78
84.85,58.17,76.17,25.85,77.3,6.58,157.91,219.19,73.06333333333333,0.6269395596276045,1.4340037181003886,0.7537903330309705,1998.205,5.88119180633147,1039.0478,13398.663499999999,5887.941,1,0,0,0,0,0,0,0,0,0,58
70.01,58.52,74.74,9.13,70.7,7.16,120.79,203.26999999999998,67.75666666666666,0.5214509161328765,1.1762432795698925,0.7726432532347506,645.4910000000001,11.923988153998025,864.8564,8456.5079,5284.1179999999995,0,0,0,0,1,0,0,0,0,0,105
67.83,58.71,89.13,18.94,52.13,6.95,51.7,215.67,71.89,0.45572426766998114,1.1359906213364594,0.6513924331521137,987.3422000000002,2.592778335005015,359.31500000000005,3506.811,4646.3469,0,0,0,0,0,0,0,0,0,1,57
43.56,29.89,27.4,20.92,48.03,7.57,52.93,100.85,33.61666666666667,0.7472979927946475,1.4101651019747492,1.0524647887323944,1004.7876000000001,2.4146897810218975,400.68010000000004,2305.6308,1316.022,0,0,0,0,0,0,0,0,1,0,0
99.76,42.03,75.09,29.89,78.3,5.49,112.29,216.88000000000002,72.29333333333334,0.8445648493057907,2.31838252382059,0.5523721908266527,2340.387,3.635157008740693,616.4721000000001,11202.050400000002,5879.5470000000005,0,0,0,1,0,0,0,0,0,0,90
79.09,64.21,83.28,21.58,64.66,7.2,51.78,226.58,75.52666666666667,0.5326284598289447,1.2128507897561724,0.7618652112007593,1395.3627999999999,2.29317980513729,372.81600000000003,4095.2802,5384.8848,0,0,0,0,0,0,0,0,0,1,149
48.49,33.13,32.83,26.6,65.28,6.53,88.98,114.45,38.15,0.724163679808841,1.4207442133020802,0.9793083062370678,1736.448,3.223913043478261,581.0394,4314.640200000001,2143.1423999999997,0,0,0,0,0,1,0,0,0,0,92
31.2,49.06,64.66,18.77,52.52,7.27,51.19,144.92000000000002,48.30666666666667,0.2719665271966527,0.6232520974830204,0.747182455071581,985.8004000000001,2.5892766818411737,372.15129999999994,1597.128,3395.9432,0,0,0,1,0,0,0,0,0,0,1
26.17,30.53,34.84,29.66,42.15,6.43,38.4,91.54,30.513333333333335,0.3943046557179449,0.8300031715826197,0.8518415178571428,1250.1689999999999,1.2524461839530332,246.91199999999998,1004.928,1468.506,0,0,0,0,0,0,0,1,0,0,86
81.18,49.22,68.06,22.28,61.83,7.32,66.05,198.46,66.15333333333334,0.6863375042272574,1.6164874551971329,0.7127135823921228,1377.5724,2.8371993127147763,483.486,5361.939,4208.1498,0,0,0,0,0,0,0,0,0,1,149
38.33,28.91,39.0,21.05,55.37,6.93,54.94,106.24,35.413333333333334,0.5562327673777391,1.2815112002674691,0.72275,1165.5384999999999,2.491609977324263,380.7342,2105.8502,2159.43,0,0,0,0,0,0,0,0,1,0,53
79.26,52.77,80.04,29.66,78.77,6.66,169.25,212.07,70.69,0.5923324116284284,1.4740561651478519,0.6511599210266535,2336.3181999999997,5.520221787345075,1127.205,13414.755000000001,6304.7508,1,0,0,0,0,0,0,0,0,0,58
41.61,23.08,30.67,15.68,48.72,6.55,35.6,95.36,31.786666666666665,0.76,1.7279900332225915,0.728765393116514,763.9295999999999,2.1342925659472423,233.18,1481.316,1494.2424,0,1,0,0,0,0,0,0,0,0,139
27.55,55.01,48.04,17.24,57.37,7.0,58.09,130.6,43.53333333333333,0.264776549735704,0.4918764506338154,1.12173735725938,989.0587999999999,3.184758771929825,406.63,1600.3795000000002,2756.0548,0,0,0,0,0,0,0,1,0,0,51
52.54,32.87,48.33,30.62,53.94,6.43,126.27,133.74,44.580000000000005,0.6391727493917275,1.5512252731030411,0.6663288060004054,1651.6428,3.993358633776091,811.9160999999999,6634.225799999999,2606.9202,0,0,0,0,0,0,1,0,0,0,27
63.19,38.47,88.34,21.6,75.95,6.17,174.0525,190.0,63.333333333333336,0.4944057585478444,1.6009627565239422,0.43060219386612936,1640.5200000000002,7.701438053097345,1073.903925,10998.377475,6709.423000000001,0,0,0,0,1,0,0,0,0,0,82
54.6,29.03,43.75,27.64,34.61,7.62,80.0,127.38,42.46,0.7400379506641366,1.8181818181818181,0.6487150837988827,956.6204,2.793296089385475,609.6,4368.0,1514.1875,0,0,0,0,1,0,0,0,0,0,97
126.09,66.03,78.07,24.89,56.7,6.66,75.1,270.19,90.06333333333333,0.868986905582357,1.8810980158138146,0.8350828379916531,1411.2630000000001,2.900733874082657,500.166,9469.359,4426.5689999999995,0,0,0,0,0,0,0,0,0,1,133
75.32,37.42,40.22,8.83,60.35,6.48,59.64,152.95999999999998,50.98666666666666,0.9577822990844354,1.9604372722540342,0.9078117418728773,532.8905,6.067141403865717,386.46720000000005,4492.0848,2427.277,0,1,0,0,0,0,0,0,0,0,122
66.19,32.4,37.77,29.7,48.23,6.78,47.27,136.36,45.45333333333334,0.9300266966418435,1.9817365269461078,0.8356977044106266,1432.4309999999998,1.5397394136807818,320.49060000000003,3128.8013,1821.6471000000001,0,1,0,0,0,0,0,0,0,0,126
63.51,52.97,109.68,13.61,57.54,6.36,51.51,226.16,75.38666666666667,0.38808432630614115,1.1767648693718733,0.47858691723888686,783.1193999999999,3.5256673511293632,327.60360000000003,3271.4001,6310.9872000000005,0,0,0,0,0,0,0,0,0,1,26
89.48,43.49,69.73,20.13,65.46,6.17,76.05,202.7,67.56666666666666,0.7834004552617756,2.0112384805574286,0.614873462462887,1317.7097999999999,3.5991481306199717,469.2285,6804.954,4564.525799999999,0,0,0,0,0,0,0,0,0,1,135
70.3,45.93,71.78,15.71,62.4,6.45,63.29,188.01,62.669999999999995,0.5921994777188104,1.4979757085020242,0.6310799670239077,980.3040000000001,3.787552363853979,408.2205,4449.286999999999,4479.072,0,0,0,0,0,0,0,0,0,1,74
79.91,40.26,44.5,24.87,79.55,6.6,174.0525,164.67,54.88999999999999,0.931786380597015,1.9367426078526417,0.8848351648351648,1978.4085,6.727966756861229,1148.7465,13908.535275,3539.975,1,0,0,0,0,0,0,0,0,0,66
