N,P,K,temperature,humidity,pH,rainfall,label,category
58.54,36.0,34.12,17.71,37.82,6.38,53.74,Quinoa,Cereals & Grains
87.99,64.12,62.87,23.25,62.74,5.73,55.78,Hemp,Fiber Crops
180.0,36.85,75.29,30.45,68.61,6.48,143.48,Sugarcane,Cash Crops
65.7,51.54,97.88,18.02,73.66,7.4,155.26,Avocado,Fruits
46.48,43.08,42.19,13.94,71.73,7.3,55.63,Gooseberry,Fruits
105.07,50.84,75.49,21.78,76.9,8.31,51.63,Kale,Vegetables
95.93,61.21,66.16,13.0,65.5,7.38,91.3,Celery,Spices & Herbs
22.02,35.34,51.32,33.74,48.94,7.53,52.86,Cluster Bean,Vegetables
85.17,40.65,51.73,23.0,84.66,5.9,297.25,Cocoa,Plantation Crops
113.21,68.37,100.2,15.21,65.0,6.04,65.49,Cabbage,Vegetables
73.87,43.65,101.05,28.99,75.96,5.78,124.89,Arecanut,Plantation Crops
111.17,51.07,56.69,30.82,55.39,6.8,98.54,Cotton,Cash Crops
56.46,56.29,51.63,15.8,70.46,6.72,66.68,Spinach,Vegetables
96.42,38.7,44.65,33.22,79.47,7.68,204.81,Jute,Cash Crops
88.0,60.25,46.66,10.77,65.94,7.99,37.91,Kale,Vegetables
95.16,79.42,96.65,9.89,69.1,7.06,89.42,Kiwi,Fruits
20.94,59.18,38.03,18.87,63.36,6.02,50.36,Lentil,Pulses & Legumes
75.45,56.46,44.14,25.5,69.23,7.43,74.34,Pomegranate,Fruits
64.83,32.54,52.72,35.57,64.17,6.85,44.03,Sorghum,Cereals & Grains
43.04,28.07,44.25,21.74,43.38,6.79,26.76,Fenugreek,Spices & Herbs
101.58,48.31,48.58,13.18,52.55,7.4,74.84,Canola,Oilseeds
76.54,58.52,90.65,13.56,69.27,6.84,70.35,Kohlrabi,Vegetables
61.28,43.24,100.56,29.08,59.11,6.29,76.13,Bottle Gourd,Vegetables
84.16,61.3,46.97,11.7,57.49,6.07,75.6,Mustard,Oilseeds
20.19,41.47,79.39,16.84,53.55,7.3,40.89,Alfalfa,Fodder Crops
36.73,36.3,62.06,5.43,65.45,4.0,80.14,Blueberry,Fruits
68.47,54.21,151.02,38.77,92.62,6.94,97.31,Coconut,Fruits
70.56,31.35,26.76,22.8,57.25,6.86,88.68,Kenaf,Fiber Crops
91.66,59.53,91.04,29.54,73.47,6.62,147.41,Longan,Fruits
91.88,45.74,50.1,25.23,81.98,6.39,213.09,Rice,Cereals & Grains
73.89,55.6,33.62,7.76,48.34,6.8,80.41,Barley,Cereals & Grains
40.26,72.63,49.86,27.19,50.36,6.86,102.07,Castor,Oilseeds
29.89,52.28,49.07,16.78,44.62,7.2,70.27,Chickpea,Pulses & Legumes
71.47,49.47,62.46,25.63,61.56,7.55,66.27,Muskmelon,Fruits
65.04,48.5,82.35,19.39,55.23,6.51,99.23,Peach,Fruits
76.45,22.19,67.83,21.81,88.12,6.26,87.9,Mulberry,Fruits
68.11,66.34,101.01,16.67,61.1,7.39,62.94,Asparagus,Vegetables
31.09,41.39,19.1,22.44,77.44,6.08,93.28,Black Gram,Pulses & Legumes
99.79,43.24,37.17,10.71,44.99,6.79,45.64,Triticale,Cereals & Grains
79.05,41.7,77.3,26.51,83.99,6.9,154.18,Ginger,Cash Crops
80.21,46.13,118.64,23.46,56.36,7.01,116.99,Orange,Fruits
27.37,50.36,44.99,11.45,63.52,6.55,54.67,Faba Bean,Pulses & Legumes
61.82,38.87,84.85,32.81,70.18,6.7,153.95,Pineapple,Fruits
106.55,43.3,105.38,27.33,73.87,6.48,170.59,Colocasia,Vegetables
72.43,45.53,63.35,11.55,90.76,6.23,86.77,Strawberry,Fruits
63.54,31.91,81.38,17.75,73.44,7.01,32.23,Turnip,Vegetables
30.57,48.83,78.42,23.96,45.08,7.72,75.16,Alfalfa,Fodder Crops
54.8,33.44,91.59,19.53,76.95,6.1,75.18,Raspberry,Fruits
85.15,38.45,106.92,17.59,50.07,6.69,86.03,Apple,Fruits
69.51,38.64,137.52,27.78,83.48,5.98,182.95,Coconut,Fruits
46.05,55.46,86.5,25.04,75.18,5.26,127.32,Sweet Potato,Vegetables
30.67,44.78,45.42,14.56,70.67,8.35,39.53,Berseem,Fodder Crops
48.42,28.89,48.74,25.63,54.49,5.69,112.22,Castor,Oilseeds
78.71,37.01,102.08,22.47,68.37,7.06,79.5,Tobacco,Cash Crops
68.91,56.06,99.89,29.65,67.3,7.4,44.86,Pumpkin,Vegetables
127.28,57.28,122.32,17.55,64.69,6.6,42.55,Cauliflower,Vegetables
54.21,36.27,61.77,14.73,55.4,6.07,39.68,Radish,Vegetables
62.85,51.08,57.19,8.49,73.39,7.56,118.78,Pear,Fruits
63.93,37.88,116.66,30.48,82.94,7.18,137.44,Yam,Vegetables
67.72,34.67,96.66,17.46,59.72,6.2,72.36,Turnip,Vegetables
106.39,41.82,81.03,18.28,72.95,7.04,60.2,Celery,Spices & Herbs
71.92,43.62,44.94,32.62,63.61,6.88,36.06,Amaranth,Cereals & Grains
16.62,56.17,44.04,17.48,70.01,6.39,35.41,Runner Bean,Pulses & Legumes
88.92,34.49,24.18,14.49,59.22,7.64,56.93,Quinoa,Cereals & Grains
85.09,43.91,76.99,27.56,68.62,6.73,65.29,Kohlrabi,Vegetables
137.52,54.16,128.45,30.88,75.14,5.6,161.35,Banana,Fruits
58.56,58.32,88.31,23.88,57.3,6.43,59.06,Lemon,Fruits
48.8,35.48,52.62,21.0,75.7,6.21,167.07,Clove,Cash Crops
93.26,34.81,38.43,33.46,52.21,6.21,38.89,Millet,Cereals & Grains
86.33,47.9,41.65,13.26,61.58,6.56,54.33,Oats,Cereals & Grains
80.29,38.4,90.17,12.17,74.94,5.87,88.45,Raspberry,Fruits
71.46,53.8,67.23,8.67,48.53,6.28,76.69,Lettuce,Vegetables
60.09,62.51,54.02,21.38,70.01,6.81,93.26,Pear,Fruits
94.31,54.95,61.33,7.05,65.21,6.82,139.0,Pear,Fruits
